t,length,area,labels.distribution.amount,labels.distribution.length,labels.distribution.area,labels.transmission.amount,labels.transmission.length,labels.transmission.area,labels.transmission_overhead.amount,labels.transmission_overhead.length,labels.transmission_overhead.area,Country,growth_percent,growth_km
2025-11-13T00:00:00Z,5653.26326007533,0,1,203.355456361214,0,1381,5651.40369518816,0,1150,5276.99065622284,0,Taiwan,-0.000803441949565947,-4.54572107808963
2025-11-13T00:00:00Z,5377.95200292221,0,13,71374.5597148953,0,559,5306.57744320731,0,529,5305.36241542272,0,Tajikistan,0.0818930155958245,407.07972128497
2025-11-13T00:00:00Z,7848.56733954037,0,11,86722.7514738379,0,202,7761.84458806653,0,201,7725.4040188104,0,Tanzania,0.0728204114560398,532.741451320891
2025-11-13T00:00:00Z,23338.8615143875,0,5,131829.406336014,0,1208,23316.7191359336,0,1187,23286.8319679509,0,Thailand,0.0424777436851161,950.986419917299
2025-11-13T00:00:00Z,27.7762892477687,0,,,,5,27.7762892477687,0,5,27.7762892477687,0,The Bahamas,0.362331560234413,7.38750133553
2025-11-13T00:00:00Z,317.315578152603,0,,,,11,317.315578152603,0,11,317.315578152603,0,The Gambia,2.4641464087967e-07,7.81911849685457e-05
2025-11-13T00:00:00Z,1106.01531987729,0,,,,48,1106.01531987729,0,48,1106.01531987729,0,Togo,-4.24915108854523e-06,-0.00469964616991092
2025-11-13T00:00:00Z,226.58406576402,0,,,,29,226.58406576402,0,29,226.58406576402,0,Trinidad and Tobago,0,0
2025-11-13T00:00:00Z,5915.7277183004,0,27,64224.0842315414,0,339,5850.22365126077,0,338,5850.22365126077,0,Tunisia,0.0198567244555567,115.179880114139
2025-11-13T00:00:00Z,60678.2187359048,0,218,187958.370116309,0,3936,60455.2108217045,0,3889,60331.1972548097,0,Turkey,0.0247835001742231,1467.4500949295
2025-11-13T00:00:00Z,10901.1772436204,0,9,104494.230282863,0,727,10796.6830133375,0,727,10796.6830133375,0,Turkmenistan,0.214950535464049,1928.64961766507
2025-11-13T00:00:00Z,2779.50603091024,0,411,23708.9720098497,0,76,2755.71638476959,0,74,2755.21076945021,0,Uganda,0.0100908428949689,27.7673625900302
2025-11-13T00:00:00Z,121339.647174587,0,13407,61367084.4295232,0,8579,60625.7288479257,0,8565,60607.2275777356,0,Ukraine,-0.000483026975177294,-58.6386467920092
2025-11-13T00:00:00Z,6829.83169808764,0,37,180854.220247577,0,994,6649.09943036004,0,771,6460.02461691763,0,United Arab Emirates,0.00747613319602529,50.6818273891595
2025-11-13T00:00:00Z,41117.3229273337,0,26071,10572594.2401288,0,12963,30854.4240619561,0,10529,24715.6106270344,0,United Kingdom,0.0661166417728817,2549.945478879
2025-11-13T00:00:00Z,823857.26086258,0,29274,56773025.2663353,0,224349,772106.590163679,0,221816,768535.333328732,0,United States of America,0.0538902150912971,42127.580611957
2025-11-13T00:00:00Z,5602.26632475088,0,6,38455.3550709052,0,224,5563.81096967997,0,223,5563.36433846731,0,Uruguay,-0.000182713277458158,-1.0237955024204
2025-11-13T00:00:00Z,17473.8601882233,0,24,126390.875649028,0,2505,17347.4693125743,0,2505,17347.4693125743,0,Uzbekistan,0.307819554634408,4112.7966330083
2025-11-13T00:00:00Z,20946.8860108082,0,5,16814.2492009292,0,1503,20924.8084088981,0,1503,20924.8084088981,0,Venezuela,0.0109011916582272,225.8836184299
